campaign_id,treated_upc,n_stores,incr_units_total,units_ci_lo,units_ci_hi,units_p,incr_margin_total,margin_ci_lo,margin_ci_hi,margin_p,pretrend_p,pretrend_pass,placebo_p,placebo_pass,cannibalized_units_total,gross_cannibalization_rate,qvalue_units,qvalue_margin,validation_status,decision_class,confidence_tier,decision_reason,priority_rank
28565,1690001751,34,-1981.7487599206288,-6.556253986556198,-2.4109349723606734,2.237084817340407e-05,-618.7882242063478,-1.94335318861173,-0.8565935272540968,4.425375613200633e-07,0.0149441483520246,False,0.0060563471041296,False,1880.875,,3.0694884703042794e-05,6.527429029470934e-07,Invalid,Exclude,X,Pre-trend or placebo validation failed.,181
28602,1690001751,71,2572.838194444429,5.084579044845796,6.994473511231336,2.7567492023166206e-35,-476.5699166666644,-1.4389307145069623,-0.7984867346323069,7.530151231707785e-12,0.4121407112496424,True,0.9732265622737104,True,55.5,0.0211160040657292,1.1413908978012676e-34,1.3067027137375273e-11,Valid,Redesign,B,"Drives volume but loses margin ($-477) — review discount depth, cost structure, or eligible assortment.",36
28625,1690001751,75,1362.2986111111045,1.7332830184322463,3.4564259762767224,3.570384153173836e-09,-440.5042395833308,-1.1087618764545848,-0.5693495124342944,1.077763556926357e-09,0.7846810258076563,True,0.1553514152898457,True,0.0,0.0,5.892382238804372e-09,1.6956813295641352e-09,Valid,Redesign,B,"Drives volume but loses margin ($-441) — review discount depth, cost structure, or eligible assortment.",33
28709,1690001752,58,2833.1934850764874,5.095994350214392,8.860623802871752,3.69800346229837e-13,-568.284084336591,-1.8659924745334109,-0.9334365123463484,4.014536680522071e-09,0.099190676723096,True,0.0432544550231525,False,455.875,0.1386030732009518,7.153514894282093e-13,6.274375209292773e-09,Invalid,Exclude,X,Pre-trend or placebo validation failed.,177
28726,1690001752,60,2981.037606837602,3.945743533607835,7.095136491716616,6.3718179308862235e-12,5.277926434676497,-0.2555813574015932,0.2751292330855803,0.9424490016243744,7.574386002959537e-07,False,5.037508458358493e-07,False,206.75,0.064856893086771,1.1567300243762682e-11,0.9424490016243744,Invalid,Exclude,X,Pre-trend or placebo validation failed.,157
28760,1690001752,32,2895.5037801176422,3.9589200450499575,8.105679038773552,1.1818217727294456e-08,315.9572573357381,0.305195068626746,1.0112935036054962,0.0002579206406065,2.192217761070719e-05,False,0.0002374273162739,False,0.0,0.0,1.8470856845307893e-08,0.0003272541461458817,Invalid,Exclude,X,Pre-trend or placebo validation failed.,142
28852,1690001752,68,2303.2409722221983,4.535753875034242,6.754643047623592,2.002830682807162e-23,-755.1094166666626,-2.223521244087085,-1.4779955042789077,2.220190802011392e-22,0.8721769760585154,True,0.6323666500704486,True,45.0,0.0191632803159104,6.302240548566537e-23,5.8872475199403205e-22,Valid,Redesign,B,"Drives volume but loses margin ($-755) — review discount depth, cost structure, or eligible assortment.",37
28877,1690001752,73,3121.538740079357,4.955003600815124,7.26236915879097,3.1257284893637614e-25,-58.09348313492188,-0.3902398603041862,0.1628681063514587,0.4204144312981074,0.1931338386141802,True,0.351721826705437,True,0.0,0.0,1.0538170335569253e-24,0.4509900263016062,Valid,Monitor,C,Validated but not statistically decisive on units and/or margin after FDR correction.,51
29165,1690001753,58,2215.301736111115,4.406983032426606,6.505833401618297,2.1821661654284944e-24,-443.8362430555575,-1.359136780069977,-0.827248653701242,7.841347503548584e-16,0.9926786134669372,True,0.1981696662610443,True,0.0,0.0,7.152655764460065e-24,1.6232965007346192e-15,Valid,Redesign,B,"Drives volume but loses margin ($-444) — review discount depth, cost structure, or eligible assortment.",34
32501,2950002932,37,-3640.027032520324,-16.180039657374493,-1.7070710675411025,0.0154219645045516,-3920.249381947896,-13.0617556560664,-6.202369070950289,3.7037151849582306e-08,0.6184954807160856,True,0.3143485662695969,True,5478.124999999998,,0.01847504377195014,5.67582327045547e-08,Valid,Kill,D,Validated and confidently negative on both units and margin.,62
41854,3828100313,81,7855.305952380996,15.9186280922956,22.87300624045006,8.040965475076009e-28,-1181.1134067460448,-3.283608501907252,-2.549050296838648,1.3022095539539028e-54,8.59762678945843e-45,False,3.522660437878066e-33,False,83244.125,0.913772173214923,2.9194890032583663e-27,8.087406703503186e-54,Invalid,Exclude,X,Pre-trend or placebo validation failed.,192
42749,3828100329,71,4841.6866755792935,4.28435385005659,15.199294743823868,0.0004676695312995,1682.5664483561038,2.702406092423406,4.0684850478426045,2.616633080267629e-22,0.0001855383004751,False,1.583821329689481e-07,False,0.0,0.0,0.0005902139539394759,6.861393410479561e-22,Invalid,Exclude,X,Pre-trend or placebo validation failed.,105
42854,3828100329,68,6295.192857142926,8.942145097581047,14.20194628897383,6.4541365411620025e-18,835.685309523822,1.0891236209404245,1.9832488405442152,1.6417471360112308e-11,0.2237851541979669,True,0.2076110054222041,True,17.0,0.0026932003480791,1.4933100232492475e-17,2.7874267920766222e-11,Valid,Keep,A,"Validated, incremental units and margin are both decisively positive with acceptable cannibalization.",15
43029,3828100333,70,5792.933333333402,8.002068527807406,12.686979091240456,4.911737412478384e-18,-15.890067460295198,-0.3787427931337415,0.3219925522041159,0.8738808063297882,0.6148635783037044,True,0.2121578417046998,True,347.0,0.0565152716098974,1.1708788175200997e-17,0.8813498730505556,Valid,Monitor,C,Validated but not statistically decisive on units and/or margin after FDR correction.,50
43089,3828100337,70,9832.948622355676,15.582261614431058,24.552222558449248,1.7944879896090822e-18,1067.2166345651567,1.631091989715944,2.7248942738153077,5.930802555769457e-15,0.3822281277532583,True,0.1606090326156973,True,165471.625,0.9439093434975748,4.321420056609626e-18,1.1663911693013266e-14,Valid,Redesign,B,Positive on both metrics but cannibalization (94%) exceeds threshold — narrow the product/store scope.,25
43204,3828100337,71,4987.030952380944,6.919759170244426,10.640208971941997,2.2294862578992367e-20,785.4029841269831,1.0452250384820576,1.7202784267537987,9.79345304066417e-16,0.849604878576839,True,0.9763458932479256,True,347.0,0.0650539907056801,6.11812507981651e-20,2.009786884866734e-15,Valid,Keep,A,"Validated, incremental units and margin are both decisively positive with acceptable cannibalization.",16
45103,4100000859,57,1902.808069977427,1.7587216339865743,4.917797909793871,3.438894545496892e-05,462.155833521446,0.5818770761643884,1.0397223397003343,3.8709792207398366e-12,0.8906880446152278,True,0.6658322750309449,True,34006.74999999999,0.9470110975392846,4.6642477743521066e-05,6.8175454932432935e-12,Valid,Redesign,B,Positive on both metrics but cannibalization (95%) exceeds threshold — narrow the product/store scope.,29
45269,4100000859,72,18463.657638889013,36.75841119141563,48.721485284922394,1.461943790262427e-44,-2149.021318452394,-5.47390921094776,-4.475263559665176,6.541253240877091e-85,0.8656696191840964,True,0.0001535845373243,False,0.0,0.0,8.415091085412994e-44,9.64834853029371e-84,Invalid,Exclude,X,Pre-trend or placebo validation failed.,208
46723,4100010958,45,128.88144841269292,-0.5503969804618722,1.1868485775615902,0.4727289297971773,-1816.571838789686,-5.228207250817563,-3.742517879008048,2.5907418681475444e-32,0.0083099898487035,False,0.0001695437674625,False,2391.75,0.948869380133358,0.49364613908023824,9.4063858597357e-32,Invalid,Exclude,X,Pre-trend or placebo validation failed.,205
47546,4171011288,67,10356.915251297123,14.878761528514795,19.47253283731315,1.2293772517368956e-48,4849.452203148489,6.939801836282404,9.144616747958024,2.2454748056130043e-46,0.0101709892741317,False,0.6330299503712542,True,0.0,0.0,8.059250872497426e-48,1.059864108249338e-45,Invalid,Exclude,X,Pre-trend or placebo validation failed.,85
47991,4171012288,67,9233.403703703752,17.518814110329615,28.41851774889304,1.4522930340272526e-16,2756.8691890166165,5.007541075810918,8.708226033724488,3.753320517974931e-13,0.0204097084709898,False,0.5287751529310569,True,45684.249999999985,0.8318682048304435,3.203188374116183e-16,6.813720324939106e-13,Invalid,Exclude,X,Pre-trend or placebo validation failed.,97
48016,4171012288,61,6116.454419959435,8.897101920323578,13.38506354400952,2.224506971129141e-22,2650.53750509117,3.7511144365681024,5.904759898918854,1.5292081472592849e-18,0.0009657018030615,False,0.3794318770864539,True,0.0,0.0,6.645362597297181e-22,3.573199235180111e-18,Invalid,Exclude,X,Pre-trend or placebo validation failed.,98
48251,4171013288,61,6580.123000707753,9.428225904079886,17.539491311935492,7.204409462010648e-11,4786.5359322953755,7.969896186311736,11.647054355882425,1.3748065722575677e-25,0.0140567303642084,False,0.0726426001575822,True,0.0,0.0,1.259437505951491e-10,4.0056092722566173e-25,Invalid,Exclude,X,Pre-trend or placebo validation failed.,86
49907,4640010026,64,-574.66587301588,-3.687076765821234,1.121604118428912,0.2957191184361175,-1554.104613756613,-4.736790068083259,-2.2011769576159055,8.190959747233448e-08,0.0015001378072442,False,0.0002492766778075,False,0.0,,0.3216115758107084,1.2391451925301884e-07,Invalid,Exclude,X,Pre-trend or placebo validation failed.,201
51108,4640010274,61,4946.059623015893,8.906462191451322,14.260093419864337,2.227409104630094e-17,4446.871500496048,8.448989948087986,12.379447993345492,2.8618795981211155e-25,0.5299001111047724,True,0.0760407224569988,True,0.0,0.0,5.006367130406688e-17,8.236629087275406e-25,Valid,Keep,A,"Validated, incremental units and margin are both decisively positive with acceptable cannibalization.",2
